,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
GN,0.0033245844269466315,0.0018146624727800628,0.004116285052739903,0.0031840796019900496,0.0023141452126120912,0.0022057349107679966,0.0029287937030935385,0.0012692144972500353
GO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GP,0.0,0.0008468424872973627,0.0002572678157962439,0.0013930348258706469,0.0017356089094590686,0.0023059955885301785,0.0007321984257733846,0.0028204766605556338
GQ,0.002099737532808399,0.002298572465521413,0.002444044250064317,0.001791044776119403,0.0018802429852473243,0.0023059955885301785,0.0009152480322167307,0.001833309829361162
GR,0.0013998250218722659,0.003024437454633438,0.002572678157962439,0.0023880597014925373,0.0011570726063060456,0.004511730499298175,0.001281347245103423,0.007192215484416866
GS,0.003849518810148731,0.0032663924510041133,0.0032158476974530484,0.003582089552238806,0.0026034133641886026,0.005714858632444355,0.0027457440966501922,0.004230714990833451
GT,0.0026246719160104987,0.0024195499637067507,0.0036017494211474143,0.0031840796019900496,0.004917558576800694,0.0039101664327250854,0.003477942522423577,0.0045127626568890146
GU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GV,0.005774278215223097,0.0031454149528187757,0.004244918960638024,0.006169154228855721,0.00506219265258895,0.0039101664327250854,0.002196595277320154,0.005217881822027923
GW,0.0008748906386701663,0.0012097749818533753,0.0007718034473887317,0.0011940298507462687,0.0008678044547295343,0.0008020854220974534,0.0003660992128866923,0.0011281906642222536
GY,0.0033245844269466315,0.0018146624727800628,0.002444044250064317,0.001990049751243781,0.0021695111368238355,0.0011028674553839983,0.0023796448837635,0.0011281906642222536
G*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HA,0.00034995625546806647,0.0013307524800387127,0.0011577051710830975,0.0009950248756218905,0.0013017066820943013,0.0019049528774814518,0.0007321984257733846,0.0015512621633055987
HC,0.0005249343832020997,0.0004839099927413501,0.0002572678157962439,0.0001990049751243781,0.0008678044547295343,0.0008020854220974534,0.001281347245103423,0.0
HD,0.0005249343832020997,0.0014517299782240503,0.0006431695394906097,0.0003980099502487562,0.0005785363031530228,0.0010026067776218166,0.001098297638660077,0.0022563813284445073
HE,0.0005249343832020997,0.0004839099927413501,0.00038590172369436584,0.0007960199004975124,0.0002892681515765114,0.0008020854220974534,0.0005491488193300384,0.0014102383302778169
HF,0.0013998250218722659,0.0016936849745947254,0.0011577051710830975,0.0003980099502487562,0.0021695111368238355,0.00180469219971927,0.0016474464579901153,0.0008461429981666902
HG,0.0013998250218722659,0.0018146624727800628,0.0014149729868793415,0.0011940298507462687,0.0011570726063060456,0.0017044315219570884,0.001281347245103423,0.0026794528275278524
HH,0.0,0.0008468424872973627,0.0006431695394906097,0.0005970149253731343,0.0017356089094590686,0.0004010427110487267,0.001098297638660077,0.0015512621633055987
HI,0.00034995625546806647,0.002782482458262763,0.0016722408026755853,0.0011940298507462687,0.0008678044547295343,0.00120312813314618,0.002562694490206846,0.0015512621633055987
HK,0.00017497812773403323,0.0016936849745947254,0.0010290712631849757,0.0013930348258706469,0.0008678044547295343,0.0008020854220974534,0.0009152480322167307,0.0007051191651389084
HL,0.0013998250218722659,0.0021775949673360755,0.0030872137895549268,0.0015920398009950248,0.0033265837431298816,0.0029075596551032686,0.003477942522423577,0.003807643491750106
HM,0.0,0.0009678199854827002,0.0005145356315924878,0.0001990049751243781,0.00043390222736476716,0.000300782033286545,0.0007321984257733846,0.0009871668311944718
HN,0.0012248468941382328,0.0010887974836680378,0.0014149729868793415,0.0001990049751243781,0.0018802429852473243,0.0008020854220974534,0.001281347245103423,0.0007051191651389084
HO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP,0.00017497812773403323,0.0021775949673360755,0.0002572678157962439,0.0001990049751243781,0.00043390222736476716,0.0027070382995789052,0.001281347245103423,0.0028204766605556338
HQ,0.0012248468941382328,0.0013307524800387127,0.0014149729868793415,0.0007960199004975124,0.0011570726063060456,0.0010026067776218166,0.0003660992128866923,0.0014102383302778169
HR,0.00017497812773403323,0.0016936849745947254,0.0016722408026755853,0.0003980099502487562,0.0008678044547295343,0.0027070382995789052,0.0014643968515467693,0.004230714990833451
HS,0.00034995625546806647,0.0013307524800387127,0.0012863390789812194,0.0009950248756218905,0.002458779288400347,0.00421094846601163,0.002196595277320154,0.0016922859963333804
HT,0.0008748906386701663,0.0014517299782240503,0.0006431695394906097,0.0009950248756218905,0.0018802429852473243,0.0014036494886705434,0.0016474464579901153,0.0021153574954167254
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HV,0.0005249343832020997,0.0013307524800387127,0.0011577051710830975,0.0005970149253731343,0.002458779288400347,0.0014036494886705434,0.0016474464579901153,0.0019743336623889436
HW,0.0005249343832020997,0.0004839099927413501,0.00038590172369436584,0.0,0.0002892681515765114,0.0007018247443352717,0.0,0.0004230714990833451
HY,0.0010498687664041995,0.0010887974836680378,0.0011577051710830975,0.0003980099502487562,0.0007231703789412786,0.0005013033888109083,0.0018304960644334614,0.0005640953321111268
H*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,0.003674540682414698,0.0035083474473747885,0.006560329302804219,0.003781094527363184,0.004339022273647671,0.003408863043914177,0.004393190554640308,0.0023974051614722887
IC,0.0010498687664041995,0.002056617469150738,0.0005145356315924878,0.0009950248756218905,0.0013017066820943013,0.0010026067776218166,0.0031118433095368844,0.0011281906642222536
ID,0.004199475065616798,0.004234212436486813,0.00398765114484178,0.004378109452736319,0.00303731559155337,0.00120312813314618,0.007688083470620538,0.0016922859963333804
IE,0.006299212598425197,0.004234212436486813,0.004373552868536146,0.005174129353233831,0.0008678044547295343,0.0016041708441949067,0.005674537799743731,0.0007051191651389084
IF,0.004549431321084864,0.004597144931042826,0.002701312065860561,0.003781094527363184,0.0018802429852473243,0.00300782033286545,0.004393190554640308,0.0023974051614722887
IG,0.0033245844269466315,0.003024437454633438,0.005016722408026756,0.004975124378109453,0.0039051200462829044,0.0022057349107679966,0.004210140948196961,0.0026794528275278524
IH,0.0010498687664041995,0.0024195499637067507,0.0006431695394906097,0.0005970149253731343,0.0008678044547295343,0.0016041708441949067,0.002562694490206846,0.0014102383302778169
II,0.005249343832020997,0.005323009920154851,0.0034731155132492926,0.00736318407960199,0.004483656349435927,0.0028072989773410867,0.009701629141497347,0.001833309829361162
IK,0.00647419072615923,0.0050810549237841765,0.005273990223823,0.006965174129353234,0.0028926815157651145,0.0022057349107679966,0.006406736225517115,0.0007051191651389084
IL,0.0068241469816272965,0.005927897411081539,0.007589400565989194,0.007562189054726368,0.00607463118310674,0.005614597954682173,0.010067728354384037,0.004089691157805669
IM,0.0012248468941382328,0.0009678199854827002,0.0009004373552868536,0.0009950248756218905,0.00101243853051779,0.0010026067776218166,0.0029287937030935385,0.0008461429981666902
IN,0.005074365704286964,0.0032663924510041133,0.0038590172369436584,0.006169154228855721,0.002458779288400347,0.0022057349107679966,0.008603331502837269,0.0012692144972500353
IO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IP,0.0027996500437445318,0.004234212436486813,0.002572678157962439,0.001990049751243781,0.0018802429852473243,0.0035091237216763587,0.0027457440966501922,0.0023974051614722887
IQ,0.0026246719160104987,0.002782482458262763,0.0020581425263699513,0.001791044776119403,0.0018802429852473243,0.00180469219971927,0.0020135456708768075,0.001833309829361162
IR,0.0027996500437445318,0.004597144931042826,0.002829945973758683,0.003383084577114428,0.0023141452126120912,0.002506516944054542,0.005125388980413692,0.0023974051614722887
IS,0.005424321959755031,0.005685942414710864,0.006431695394906097,0.007562189054726368,0.0039051200462829044,0.0039101664327250854,0.008237232289950576,0.003666619658722324
IT,0.0068241469816272965,0.005202032421969514,0.005402624131721122,0.004378109452736319,0.005351460804165461,0.0029075596551032686,0.005125388980413692,0.001833309829361162
IU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.0055993000874890635,0.004113234938301476,0.002829945973758683,0.004378109452736319,0.004339022273647671,0.004311209143773812,0.007505033864177192,0.0022563813284445073
IW,0.0010498687664041995,0.0008468424872973627,0.0019295086184718292,0.0007960199004975124,0.0005785363031530228,0.0008020854220974534,0.0003660992128866923,0.0004230714990833451
IY,0.0024496937882764656,0.0024195499637067507,0.0037303833290455364,0.00417910447761194,0.0011570726063060456,0.00120312813314618,0.003844041735310269,0.0016922859963333804
